id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
154329,170007,Clu Clu Land-e,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
41829,22246,Club Football,NULL,2003-10-10 00:00:00.000,NULL,NULL,30.0000,1,NULL,NULL
30433,110319,Collector's Edition: 251 Awesome Games!,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
117370,87190,Command & Conquer: Generals - Deluxe Edition,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,2
191973,477,Commandos 3: Destination Berlin,"Prepare to take the Commandos on their deadliest mission yet. From the shores of France to the heart of the Third Reich, strike fast from land and sea with your small squad of elite special forces infiltrating hostile territories to disrupt the German war machine. These men are the best the Allies have - are you prepared to lead them to victory?",2003-10-14 00:00:00.000,31,NULL,70.0000,2,75.1278,69
148207,3864,Conflict: Desert Storm II,NULL,2003-09-19 00:00:00.000,2,NULL,62.5000,2,70.2645,12
161022,1336,Contract J.A.C.K.,NULL,2003-11-11 00:00:00.000,4,NULL,55.0000,1,67.7955,10
134920,5788,Corvette,NULL,2003-11-11 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
65367,51760,Cossacks Anthology,NULL,2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54588,76822,Counter-Strike Neo,NULL,2003-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
56103,210237,Crash Nitro Kart,NULL,2003-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105160,1193,Crash Nitro Kart,NULL,2003-11-11 00:00:00.000,7,NULL,77.0000,2,69.3480,55
122453,68235,Crazy Chicken: Pharaoh's Treasure,NULL,2003-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
81815,125491,Crimson Alive: Burst Again,NULL,2003-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133321,5793,Crimson Skies: High Road to Revenge,"You take the role of the daring air pirate Nathan Zachary, leader of the infamous Fortune Hunters. The high-flying adventure's single player campaign is filled with escapes, defense/escort missions and dogfights. You can take on friends over Xbox Live! as well.",2003-10-21 00:00:00.000,4,NULL,94.0000,3,77.6489,13
126308,5794,"Crouching Tiger, Hidden Dragon",NULL,2003-11-28 00:00:00.000,NULL,NULL,53.7500,5,NULL,NULL
147861,64564,Crystal Mines II: Buried Treasure,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91289,45103,CT Special Forces: Back to Hell,NULL,2003-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98754,22100,Culdcept,NULL,2003-12-25 00:00:00.000,NULL,NULL,89.0000,2,NULL,NULL
144919,3867,Curious George,NULL,2003-12-11 00:00:00.000,2,NULL,40.0000,1,36.0000,3
93672,5796,Curse: The Eye of Isis,NULL,2003-10-21 00:00:00.000,1,NULL,64.5000,2,70.0000,2
13412,67374,D.N. Angel: Crimson Wings,NULL,2003-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98185,139244,Dance Dance Revolution Party Collection,NULL,2003-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3541,47301,Dance Dance Revolution: Ultramix,NULL,2003-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40173,95455,Dance: UK,NULL,2003-10-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
43187,73949,Dancing Stage Fever,NULL,2003-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84715,50451,Deep Sea Tycoon,NULL,2003-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15811,262,Deer Hunter 2004,NULL,2003-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55095,9820,Desert Thunder,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109152,42,Deus Ex: Invisible War,NULL,2003-12-02 00:00:00.000,24,NULL,80.0000,4,63.0237,85
7853,203830,Di Gi Charat Fantasy Excellent,"Take on the role of a boy with a crush on Dejiko who, along with Dejiko, Puchiko, and Rabi-en-Rose, gets sucked through a dimensional vortex into a fantasy world. The player finds himself alone with Dejiko in a forest, and she's lost her memory. In this game, players are given a very different view of Dejiko, as the amnesia makes her innocent and shy.",2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
